complaint,department,label
क्षतिग्रस्त विद्युत लाइन कि मरम्मत करवाए जाने बाबत,अधि0 अभि0 विद्युत वितरण खण्ड पिथौरागढ़,19.0
प्रधानमंत्री आवास योजना लाभार्थी सूची में नाम दर्ज किये जाने बाबत,खण्ड विकास अधिकारी गंगोलीहाट,12.0
परिवार रजिस्टर में जन्मतिथि सुधारीकरण बाबत,जिला पंचायत राज अधिकारी  पिथौरागढ़,20.0
परिवार रजिस्टर में जन्मतिथि सुधारीकरण बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
गंगोलीहाट,उप जिलाधिकारी गंगोलीहाट,22.0
मुख्यमंत्री राहत कोष से आर्थिक सहायता प्रदान किये जाने बाबत,उप जिलाधिकारी गंगोलीहाट,22.0
रा०प्रा० वि० भाटगाडा गंगोलीहाट में पानी एवं चाहर दीवारी के समबन्ध में,खण्ड शिक्षाधिकारी गंगोलीहाट,23.0
जल जीवन मिशन अंतर्गत पेयजल सुविधा उपलब्ध कराये जाने बाबत,अधिशासी अभियन्ता उत्तराखण्ड पेयजल निगम गंगोलीहाट,24.0
पानी की टंकी स्वीकृत करवाए जाने बाबत,अधिशासी अभियन्ता उत्तराखण्ड पेयजल निगम गंगोलीहाट,24.0
पेयजल समस्या का समाधान किये जाने बाबत,अधिशासी अभियन्ता उत्तराखण्ड पेयजल निगम गंगोलीहाट,24.0
भूमि विवाद का समाधान किये जाने बाबत,पुलिस अधीक्षक कार्यालय पिथौरागढ़,4.0
पेयजल संयोजन किये जाने बाबत,अधिशासी अभियन्ता उत्तराखण्ड पेयजल निगम गंगोलीहाट,24.0
बेलपत्टी जल पम्पिंग योजना का कार्य प्राम्भ करवाए जाने बाबत,अधिशासी अभियन्ता उत्तराखण्ड पेयजल निगम गंगोलीहाट,24.0
घर के पिट को नगर निगम के सीवर लाइन में जोड़ने बाबत,नगर निगम  पिथौरागढ़,25.0
विद्युत पोल अन्यत्र स्थानान्तरण बाबत,अधिशासी अभियंता विद्युत वितरण खण्ड धारचूला,26.0
आर्थिक सहायता दिलाये जाने बाबत,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1.0
आर्थिक सहायता दिलाये जाने बाबत,तहसील पिथौरागढ़,0.0
ग्राम पंचायत लेजम में स्थित पंचायती चुनाव हेतु मतदान केंद्र राजकीय प्राथमिक विद्यालय लेजम कौली को पंचायत भवन लेजम में स्थानांतरित करने बाबत,जिला पंचायत राज अधिकारी  पिथौरागढ़,20.0
वाहन दुर्घटना में हुई म्रत्यु का मुआवजा मृतक के परिजनों को दिलाये जाने बाबत,सहायक संभागीय परिवहन अधिकारी पिथौरागढ़,27.0
चमू बैंड से चौबाटी सड़क मार्ग के ग्राम धुरौली में क्षतिग्रस्त सडक के मरम्मत बाबत,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28.0
आवासीय मकान हेतु आर्थिक सहायता दिलाये जाने बाबत,उप जिलाधिकारी गंगोलीहाट,22.0
पंचायत भवन कि मरम्मत किये जाने बाबत,खण्ड विकास अधिकारी गंगोलीहाट,12.0
आवास का लाभ दिलाये जाने के सम्बन्ध में,खण्ड विकास अधिकारी गंगोलीहाट,12.0
ग्रामसभा बुरसुम में सड़क का विस्तार किये जाने बाबत,अधिशासी अभियंता अ0ख0 लो0नि0वि0वेरीनाग,15.0
"गणाई गंगोली अंतर्गत महाविद्यालय, जल जीवन मिशन गुणवत्ता, तहसीलदार के रिक्त पद, मोटर मार्ग एवं विद्युत लाइन कि समस्याओ का समाधान किये जाने बाबत",अधिशासी अभियंता अ0ख0 लो0नि0वि0वेरीनाग,15.0
पित्रहीन बालिका के पालन पोषण हेतु सहायता प्रदान किये जाने बाबत,जिला प्रोबेशन अधिकारी पिथौरागढ़,29.0
ततैयो के आतंक से निजात दिलाये जाने बाबत,"प्रभागीय वनाधिकारी कार्यालय, पिथौरागढ़ वन विभाग, पिथौरागढ़।",13.0
वाहन चालक पद पर नियुक्ति बाबत,अपर जिलाधिकारी पिथौरागढ़,30.0
सोलर लाइट उपलब्ध करवाए जाने बाबत,वरिष्ठ परियोजना अधिकारी उरेड़ा,3.0
सोलर लाइट उपलब्ध कराये जाने के सम्बन्ध में,वरिष्ठ परियोजना अधिकारी उरेड़ा,3.0
सडक डामरीकरण किये जाने बाबत,अधिशासी अभियंता अ0ख0 लो0नि0वि0वेरीनाग,15.0
आम के पौधे मंगाए जाने बाबत,मुख्य उद्यान अधिकारी पिथौरागढ़,31.0
परिवार रजिस्टर में नाम दर्ज करने के सम्बन्ध में,खण्ड विकास अधिकारी गंगोलीहाट,12.0
परिवार रजिस्टर में नाम दर्ज करने के सम्बन्ध में,जिला पंचायत राज अधिकारी  पिथौरागढ़,20.0
मकान कि छत बनवाने हेतु आर्थिक सहायता दिए जाने बाबत,खण्ड विकास अधिकारी गंगोलीहाट,12.0
निजी वाहनों द्वारा सवारी ढोने पर रोक बाबत,पुलिस अधीक्षक कार्यालय पिथौरागढ़,4.0
निजी वाहनों द्वारा सवारी ढोने पर रोक बाबत,सहायक संभागीय परिवहन अधिकारी पिथौरागढ़,27.0
प्रधानमंत्री आवास दिलाये जाने बाबत,खण्ड विकास अधिकारी गंगोलीहाट,12.0
प्रधानमन्त्री आवास दिलाये जाने बाबत,खण्ड विकास अधिकारी गंगोलीहाट,12.0
विद्यालय कि भूमि से अवैध अतिक्रमण रोके जाने बाबत,उप जिलाधिकारी गंगोलीहाट,22.0
भूमि का अतिक्रमण रोके जाने के सम्बन्ध में,उप जिलाधिकारी गंगोलीहाट,22.0
अनुसूचित जाती के व्यक्ति को भूमि ग्रान्ट में दिए जाने बाबत,उप जिलाधिकारी गंगोलीहाट,22.0
प्राथमिक विद्यालय अनर गाँव का पुनर्निर्माण कराये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
अधूरी पेयजल योजना का कार्य पूर्ण किये जाने बाबत,अधीक्षण अभियन्ता उत्तराखण्ड पेयजल निगम  पिथौरागढ़,32.0
अधूरी पेयजल योजना का कार्य पूर्ण किये जाने बाबत,अधिशासी अभियन्ता उत्तराखण्ड पेयजल निगम गंगोलीहाट,24.0
2006 में स्वीकृत पुलिया का निर्माण किये जाने बाबत,अधिशासी अभियंता अ0ख0 लो0नि0वि0वेरीनाग,15.0
मानदेय भुगतान बाबत,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11.0
ग्राम चेंसर में एल पी जी गैस आपुर्ति किये जाने बाबत,जिला पूर्ति अधिकारी  पिथौरागढ़,14.0
वेतन आहरित किये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
"परिवार रजिस्टर, राशन कार्ड, वोटर कार्ड बनवाए जाने बाबत",जिला पूर्ति अधिकारी  पिथौरागढ़,14.0
वघर डोबाल खेत मोटर मार्ग में डामरीकरण बाबत,अधिशासी अभियंता अ0ख0 लो0नि0वि0वेरीनाग,15.0
सिन कोटेश्वर महादेव गुफा से त्र्यम्बकेश्वर महादेव मिलान रौकड़ तक ०६ कि०मी सड़क स्वीक्रत कर मा० मुख्यमंत्री घोषणा में शामिल करने बाबत,अधिशासी अभियंता अ0ख0 लो0नि0वि0वेरीनाग,15.0
पुरानी गौशाला का सुधारीकरण किये जाने बाबत,नगर निगम  पिथौरागढ़,25.0
पुस्तकालय समिति का मार्गदर्शन व सहायता किये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
परिजनों द्वारा आवेदिका को उनके हक़ हिस्से कि भूमि में भवन निर्माण करने में बाधा डाले जाने बाबत,पुलिस अधीक्षक कार्यालय पिथौरागढ़,4.0
पी एम् किसान निधि कि धनराशी दिलाये जाने बाबत,मुख्य कृषि अधिकारी पिथौरागढ,33.0
सुरक्षा दीवार का निर्माण किये जाने बाबत,अधिशासी अभियंता एन एच लोक निर्माण विभाग लोहाघाट,34.0
विकासखण्ड मुनस्यारी के ग्रामसभा खासिय बाड़ा में व्याप्त समस्याओ का निराकरण बाबत,अधीक्षण अभियंता पी०एम-जी०एस०वाइ० वृत्त लो0नि0वि0 पिथौरागढ़,6.0
ग्रामसभा खसिया वाडा कि समस्याओ के सम्बन्ध में,परियोजना प्रवन्धक  स्वजल पिथौरागढ़,7.0
राशन कार्ड में नाम दर्ज करने बाबत,जिला पूर्ति अधिकारी  पिथौरागढ़,14.0
पारिवारिक पेंशन का लाभ दिए जाने बाबत,"वरिष् कोषाधिकारी कार्यालय, पिथौरागढ़",35.0
पारिवारिक पेंशन का लाभ दिए जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
आवास दिलाये जाने बाबत,खण्ड विकास अधिकारी कनालीछीना,36.0
ग्रामसभा सीनी के झोलपानी में पुलिया निर्माण बाबत,अधिशासी अभियन्ता ग्रा0अ0से0अस्थाई प्रखण्ड डीडीहाट,37.0
ग्रामसभा सीनी के झोलपानी में पुलिया निर्माण बाबत,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2.0
खतेडा सिनी व चामा मोटर मार्ग निर्माण बाबत,"प्रभागीय वनाधिकारी कार्यालय, पिथौरागढ़ वन विभाग, पिथौरागढ़।",13.0
खतेडा सिनी व चामा मोटर मार्ग निर्माण बाबत,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28.0
मोटर मार्ग में पुल का निर्माण किये जाने बाबत,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28.0
आदिचौरा-सीनी-चामा-बनारी संपर्क मार्ग पुनर्निर्माण बाबत,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28.0
पति व सास द्वारा घर से निकाले जाने पर उन्हें न्याय दिलाने बाबत,पुलिस अधीक्षक कार्यालय पिथौरागढ़,4.0
कनालीछीना-सतगढ मोटर मार्ग निर्माण हेतु गलत खेतो कि रजिस्ट्री होने बाबत,तहसील कनालीछीना,38.0
सरकारी राशन समय पर उपलब्ध कराये जाने बाबत,जिला पूर्ति अधिकारी  पिथौरागढ़,14.0
विगत एक वर्ष से बिलों का भुगतान न होने बाबत,अधिशासी अभियन्ता सिंचाई निर्माण खण्ड पिथौरागढ़,39.0
दानी बगर से लोदी तक डामरी करण किये जाने बाबत,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28.0
आर्थिक सहायता दिलाये जाने बाबत,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1.0
आर्थिक सहायता दिलाये जाने बाबत,तहसील पिथौरागढ़,0.0
वर्षाती नाले का निर्माण कराये जाने बाबत,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1.0
वर्षाती नाले का निर्माण कराये जाने बाबत,"वरिष् कोषाधिकारी कार्यालय, पिथौरागढ़",35.0
आँगन बाड़ी केन्द्रों में पेंटिंग हेतु पुनः निविदा कराये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
निकासी नाले का निर्माण कराये जाने बाबत,नगर निगम  पिथौरागढ़,25.0
सेवानिवृति उपरान्त देय धनराशी का भुगतान बाबत,अधिशासी अभियन्ता नि0म0 पेयजल निगम पिथौरागढ़,40.0
सेवानिवृति उपरान्त देय धनराशी का भुगतान बाबत,अधीक्षण अभियन्ता उत्तराखण्ड पेयजल निगम  पिथौरागढ़,32.0
ग्राम पंचायत थरकोट में व्यक्ति विशेष हेतु जिला पंचायत द्वारा धन का दुरुपयोग किये जाने बाबत,जिला पंचायत पिथौरागढ,41.0
पाला संभवित सड़क में चूने का छिडकाव किये जाने बाबत,"उप जिलाधिकारी कार्यालय, डीडीहाट",42.0
जी आई सी सुकौली मोटर मार्ग में सड़क चौडीकरण के दौरान टूटे हैण्ड पम्पो के पुनर्विस्थापन बाबत,अधिशासी अभियन्ता उत्तराखण्ड जल संस्थान पिथौरागढ़,43.0
राशन कार्ड धारक द्वारा धमकी दिए जाने बाबत,जिला पूर्ति अधिकारी  पिथौरागढ़,14.0
अम्बेडकर ग्राम लीमातौडा मोटर मार्ग में सोलिंग एवं डामरीकरण किये जाने बाबत,अधिशासी अभियंता लो0नि0वि0 अस्कोट,5.0
आपदा से क्षतिग्रस्त पेयजल लाइन मरम्मत बाबत,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2.0
"धौलीगंगा बाँध में पडिल वोटिंग, मोटर वोटिंग हेतु प्रशिक्षण दिए जाने बाबत",जिला पर्यटन विकास अधिकारी,17.0
योग अनुदेशक कि नियुक्ति विज्ञप्ति के अनुसार न किये जाने बाबत,जिला आयुर्वेदिक एवं यूनानी कार्यालय  पिथौरागढ़,44.0
ग्राम पंचायत तड़ीगाँव के मैला तोक में खेल मैदान बाबत,अधिशासी अभियन्ता नि0म0 पेयजल निगम पिथौरागढ़,40.0
ग्राम पंचायत तड़ीगाँव के मैला तोक में खेल मैदान बाबत,अधीक्षण अभियन्ता उत्तराखण्ड पेयजल निगम  पिथौरागढ़,32.0
दैवी आपदा मद से सुरक्षा दीवार निर्माण बाबत,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2.0
विपक्षी द्वारा कब्ज़ा की गई प्रार्थी कि भूमि उन्हें दिलाये जाने बाबत,उप जिलाधिकारी बेरीनाग,45.0
आर्थिक सहायता दिलाये जाने बाबत,खण्ड विकास अधिकारी गंगोलीहाट,12.0
मोटर मार्ग निर्माण बाबत,अधिशासी अभियंता प्रान्तीय खण्ड लो0नि0वि0 पिथौरागढ़,46.0
सुरक्षा दीवार निर्माण बाबत,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2.0
पेयजल टैंक निर्माण बाबत,अधिशासी अभियन्ता उत्तराखण्ड जल संस्थान डीडीहाट,47.0
पैदल मार्ग निर्माण बाबत,नगर पालिका परिषद् डीडीहाट,48.0
विद्युत पोल हटाये जाने बाबत,अधिशासी अभियंता विद्युत वितरण खण्ड धारचूला,26.0
सिंचाई गूल निर्माण बाबत,अधिशासी अभियंता लघु डाल पिथौरागढ़,49.0
सिंचाई गूल निर्माण बाबत,अधिशासी अभिंयंता लघुसिंचाई खंड पिथौरागढ़,16.0
भूमि आवंटित किये जाने बाबत,श्रम प्रवर्तन अधिकारी,50.0
सुरक्षा दीवार कि मरम्मत किये जाने बाबत,खण्ड विकास अधिकारी डीडीहाट,51.0
सुरक्षा दीवार कि मरम्मत किये जाने बाबत,नगर पालिका परिषद् डीडीहाट,48.0
स्लाटर हाउस निर्माण बाबत,नगर पालिका परिषद् डीडीहाट,48.0
प्राइमरी स्कूल एवं आंगनबाड़ी भवन मरम्मत बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
ग्राम बगजीबाला में जर्जर जूनियर हाई स्कूल की छत मरम्मत बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
ग्राम बगजीबाला में जर्जर जूनियर हाई स्कूल की छत मरम्मत बाबत,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2.0
चिल्ड्रेन पार्क निर्माण बाबत,नगर पालिका परिषद् डीडीहाट,48.0
पेयजल उपलब्ध कराये जाने बाबत,अधिशासी अभियन्ता उत्तराखण्ड जल संस्थान डीडीहाट,47.0
शहीद सैनिक के घर तक सड़क निर्माण बाबत,सैनिक कल्याण एवं पुनर्वास पिथौरागढ़,52.0
विद्युत लाइन से हो रहे खतरे से निजात दिलाये जाने बाबत,अधिशासी अभियंता विद्युत वितरण खण्ड धारचूला,26.0
ए एन एम् सेंटर बनाये जाने बाबत,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11.0
सरकारी योजनाओ का लाभ पात्र लाभार्थियों को दिये जाने बाबत,तहसीलदार डीडीहाट,53.0
तहसील अंतर्गत विद्युत समस्याओ का निराकरण किये जाने बाबत,अधिशासी अभियंता विद्युत वितरण खण्ड धारचूला,26.0
अस्पताल आन्दोलन के दौरान दर्ज मुकदमे वापस लिए जाने बाबत,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11.0
दैवी आपदा अंतर्गत पुलों का पुनर्निर्माण बाबत,"उप जिलाधिकारी कार्यालय, डीडीहाट",42.0
सुनारर्खेत में पैदल मार्ग निर्माण बाबत,जिला विकास अधिकारी पिथौरागढ,54.0
सुनारर्खेत में पैदल मार्ग निर्माण बाबत,खण्ड विकास अधिकारी डीडीहाट,51.0
आवासीय मकान कि सुविधा दिलाये जाने बाबत,नगर पालिका परिषद् डीडीहाट,48.0
ग्रामसभा ढुंगेती अंतर्गत विभिन्न समस्याओ का समाधान किये जाने बाबत,"अधिशासी अभियन्ता, प्रान्तीय खण्ड, लो0नि0वि0 डीडीहाट",28.0
ग्रामसभा ढुंगेती अंतर्गत विभिन्न समस्याओ का समाधान किये जाने बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
पानी का वितरण सुचारू रूप से ना होने के बाबत,अधिशासी अभियन्ता उत्तराखण्ड जल संस्थान पिथौरागढ़,43.0
वर्ष 1992-93 में झूलाघाट तालेश्वर सड़क निर्माण में कटी भूमि का मुआवजा दिलाये जाने बाबत,अधिशासी अभियंता प्रान्तीय खण्ड लो0नि0वि0 पिथौरागढ़,46.0
ग्रामसभा थरकोट में तल्ला कोट दूकान के पास खतरा बने खड्किया के पेड़ को कटवाने बाबत,"उप जिलाधिकारी कार्यालय, पिथौरागढ़",1.0
ग्रामसभा थरकोट में तल्ला कोट दूकान के पास खतरा बने खड्किया के पेड़ को कटवाने बाबत,तहसील पिथौरागढ़,0.0
प्रार्थिनी के गौशाला तथा किचन में आ रहे पडोसी के नाले के पानी से हो रही समस्या का समाधान किये जाने बाबत,नगर निगम  पिथौरागढ़,25.0
महर्षि,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
महर्षि,खण्ड शिक्षाशिकारी विण,8.0
टेक्सी स्टैंड डीडीहाट एवं सानदेव सीराकोट मंदिर तक सड़क बदहाली का निरिक्षण किये जाने बाबत,जिला स्तरीय विकास प्राधिकरण,55.0
डीडीहाट में स्थाई सब रजिस्ट्रार कि नियुक्ति बाबत,तहसीलदार डीडीहाट,53.0
जी आई सी वार्ड डीडीहाट अंतर्गत सड़क में नाली निर्माण बाबत,नगर पालिका परिषद् डीडीहाट,48.0
तहसील परिसर डीडीहाट के निकट ऊँचे ०२ पेड़ो का छटान (लॉबिंग) बाबत,"प्रभागीय वनाधिकारी कार्यालय, पिथौरागढ़ वन विभाग, पिथौरागढ़।",13.0
सानदेव में सामूहिक शौचालय निर्माण बाबत,परियोजना प्रवन्धक  स्वजल पिथौरागढ़,7.0
दिव्यांग चिकित्सा प्रमाण पत्र बनवाए जाने बाबत,मुख्य चिकित्सा अधिकारी  पिथौरागढ़,11.0
श्रम विभाग अंतर्गत मिलने वाली कन्या विवाह कि धनराशी दिलाये जाने बाबत,श्रम प्रवर्तन अधिकारी,50.0
पक्का पत्थर युक्त मकान दिलवाए जाने बाबत,नगर पालिका परिषद् डीडीहाट,48.0
मुर्गी व्यवसाय (कुक्कुट पालन) हेतु आर्थिक सहायता दिलाये जाने बाबत,मुख्य पशु चिकित्सा अधिकारी पिथौरागढ़,56.0
पेयजल टैंक निर्माण बाबत,अधिशासी अभियन्ता उत्तराखण्ड जल संस्थान डीडीहाट,47.0
देवी आपदा से क्षतिग्रस्त आवासीय भवन हेतु सुरक्षा दीवार का निर्माण किये जाने बाबत,"उप जिलाधिकारी कार्यालय, डीडीहाट",42.0
आँगन की सुरक्षा दीवार स्वीकृत करवाए जाने बाबत,"उप जिलाधिकारी कार्यालय, डीडीहाट",42.0
आवास स्वीकृत किये जाने बाबत,नगर पालिका परिषद् डीडीहाट,48.0
जंगली सुवरों से बचाव हेतु खेत में तारबाड बनवाए जाने बाबत,मुख्य कृषि अधिकारी पिथौरागढ,33.0
आदिचौरा-सीनी-चामा सड़क निर्माण में फसल नुक्सान का मुआवजा दिलाये जाने बाबत,अधि0अभि0 पी0एम0जी0एस0वाई0खण्ड लो0नि0वि0 धारचूला,57.0
नगर में वन वे पार्किंग व्यवस्था सुचारू किये जाने बाबत,पुलिस अधीक्षक कार्यालय पिथौरागढ़,4.0
नगर में वन वे पार्किंग व्यवस्था सुचारू किये जाने बाबत,"उप जिलाधिकारी कार्यालय, डीडीहाट",42.0
जंगली बंदरो से निजात दिलाये जाने बाबत,"प्रभागीय वनाधिकारी कार्यालय, पिथौरागढ़ वन विभाग, पिथौरागढ़।",13.0
ग्राम पंचायत मलाझूला में दैवी आपदा से क्षतिग्रस्त ठाडीगाड पेयजल योजना का पुनर्निर्माण एवं मरम्मत किये जाने बाबत,अधिशासी अभियन्ता उत्तराखण्ड जल संस्थान डीडीहाट,47.0
उच्चतर माध्यमिक विद्यालय धाराकौली के भवन कि छत मरम्मत बाबत,मुख्य शिक्षा अधिकारी पिथौरागढ़,21.0
दैवी आपदा से क्षतिग्रस्त खोजाखेत डीडीहाटपुलिया का निर्माण किये जाने बाबत,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2.0
ग्राम व पोस्ट सीनी तहसील तेजम में दैवी आपदा से क्षतिग्रस्त सिंचाई गूलो का पुनर्निर्माण बाबत,जिला आपदा प्रबंधन अधिकारी पिथौरागढ़,2.0
ग्राम कूटा चौरानी में सड़क एवं विद्युत व्यवस्था बाबत,अधिशासी अभियंता विद्युत वितरण खण्ड धारचूला,26.0
देवी आपदा से क्षतिग्रस्त सिंचाई गूल डूंगरी गाड़ा के पुनर्निर्माण एवं मरम्मत बाबत,"उप जिलाधिकारी कार्यालय, डीडीहाट",42.0
पम्पिंग पेयजल योजना के उपकरणों को सड़क मार्ग तक लाने हेतु सड़क मार्ग का निर्माण किये जाने बाबत,अधिशासी अभियन्ता उत्तराखण्ड जल संस्थान डीडीहाट,47.0
